label / lang,en,es,fr,ja,ko,pt,ar
@labelTimeSeconds,"{""description"": ""n초를 나타내는 문자열"", ""placeholders"": {""second"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n초를 나타내는 문자열"", ""placeholders"": {""second"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n초를 나타내는 문자열"", ""placeholders"": {""second"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n초를 나타내는 문자열"", ""placeholders"": {""second"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n초를 나타내는 문자열"", ""placeholders"": {""second"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n초를 나타내는 문자열"", ""placeholders"": {""second"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n초를 나타내는 문자열"", ""placeholders"": {""second"": {""type"": ""String"", ""example"": ""1""}}}"
labelTimeAgo,{timeStr} ago,hace {timeStr},il y a {timeStr},{timeStr}前,{timeStr} 전,há {timeStr},منذ {timeStr}
@labelTimeAgo,"{""description"": ""1분전, 10시간 전 등 시간 지남을 나타내는 문자열"", ""placeholders"": {""timeStr"": {""type"": ""String"", ""example"": ""1 minute, 10 hours""}}}","{""description"": ""1분전, 10시간 전 등 시간 지남을 나타내는 문자열"", ""placeholders"": {""timeStr"": {""type"": ""String"", ""example"": ""1 minuto, 10 horas""}}}","{""description"": ""1분전, 10시간 전 등 시간 지남을 나타내는 문자열"", ""placeholders"": {""timeStr"": {""type"": ""String"", ""example"": ""1 minute, 10 heures""}}}","{""description"": ""1분전, 10시간 전 등 시간 지남을 나타내는 문자열"", ""placeholders"": {""timeStr"": {""type"": ""String"", ""example"": ""1分, 10時間""}}}","{""description"": ""1분전, 10시간 전 등 시간 지남을 나타내는 문자열"", ""placeholders"": {""timeStr"": {""type"": ""String"", ""example"": ""1분, 10시간""}}}","{""description"": ""1분전, 10시간 전 등 시간 지남을 나타내는 문자열"", ""placeholders"": {""timeStr"": {""type"": ""String"", ""example"": ""1 minuto, 10 horas""}}}","{""description"": ""1분전, 10시간 전 등 시간 지남을 나타내는 문자열"", ""placeholders"": {""timeStr"": {""type"": ""String"", ""example"": ""1 دقيقة, 10 ساعات""}}}"
labelDonationDonatorName,Donor Name,Nombre del donante,Nom du donateur,寄付者の名前,후원자 이름,Nome do doador,اسم المتبرع
@labelDonationDonatorName,"{""description"": ""후원자의 이름 입력 필드 라벨""}","{""description"": ""후원자의 이름 입력 필드 라벨""}","{""description"": ""후원자의 이름 입력 필드 라벨""}","{""description"": ""후원자의 이름 입력 필드 라벨""}","{""description"": ""후원자의 이름 입력 필드 라벨""}","{""description"": ""후원자의 이름 입력 필드 라벨""}","{""description"": ""후원자의 이름 입력 필드 라벨""}"
labelDonationDonatorEmail,Email,Correo electrónico,E-mail,メール,이메일,E-mail,البريد الإلكتروني
@labelDonationDonatorEmail,"{""description"": ""후원자의 이메일 입력 필드 라벨""}","{""description"": ""후원자의 이메일 입력 필드 라벨""}","{""description"": ""후원자의 이메일 입력 필드 라벨""}","{""description"": ""후원자의 이메일 입력 필드 라벨""}","{""description"": ""후원자의 이메일 입력 필드 라벨""}","{""description"": ""후원자의 이메일 입력 필드 라벨""}","{""description"": ""후원자의 이메일 입력 필드 라벨""}"
labelDonationMessage,Message,Mensaje,Message,メッセージ,메시지 ,Mensagem,رسالة
@labelDonationMessage,"{""description"": ""후원 메시지 입력 필드 라벨""}","{""description"": ""후원 메시지 입력 필드 라벨""}","{""description"": ""후원 메시지 입력 필드 라벨""}","{""description"": ""후원 메시지 입력 필드 라벨""}","{""description"": ""후원 메시지 입력 필드 라벨""}","{""description"": ""후원 메시지 입력 필드 라벨""}","{""description"": ""후원 메시지 입력 필드 라벨""}"
labelDonationDonatorCountry,Select Country,Seleccionar país,Sélectionner le pays,国を選択,국가 선택,Selecionar país,اختر الدولة
@labelDonationDonatorCountry,"{""description"": ""후원자의 국가 선택 라벨""}","{""description"": ""후원자의 국가 선택 라벨""}","{""description"": ""후원자의 국가 선택 라벨""}","{""description"": ""후원자의 국가 선택 라벨""}","{""description"": ""후원자의 국가 선택 라벨""}","{""description"": ""후원자의 국가 선택 라벨""}","{""description"": ""후원자의 국가 선택 라벨""}"
labelTitleAdManage,Ad Management,Gestión de anuncios,Gérer les annonces,広告管理,광고 관리,Gerenciamento de Anúncios,إدارة الإعلانات
@labelTitleAdManage,"{""description"": ""광고 관리 페이지 제목""}","{""description"": ""광고 관리 페이지 제목""}","{""description"": ""광고 관리 페이지 제목""}","{""description"": ""광고 관리 페이지 제목""}","{""description"": ""광고 관리 페이지 제목""}","{""description"": ""광고 관리 페이지 제목""}","{""description"": ""광고 관리 페이지 제목""}"
labelAllowAd,Allow Ads,Permitir anuncios,Autoriser les annonces,広告を許可,광고 허용,Permitir Anúncios,السماح بالإعلان
@labelAllowAd,"{""description"": ""광고 허용 토글 버튼 리스트 제목""}","{""description"": ""광고 허용 토글 버튼 리스트 제목""}","{""description"": ""광고 허용 토글 버튼 리스트 제목""}","{""description"": ""광고 허용 토글 버튼 리스트 제목""}","{""description"": ""광고 허용 토글 버튼 리스트 제목""}","{""description"": ""광고 허용 토글 버튼 리스트 제목""}","{""description"": ""광고 허용 토글 버튼 리스트 제목""}"
descriptionAllosAd,"By enabling each button, banner ads will appear at the bottom of the screen, which greatly supports the development of this app.
We deeply appreciate your kind support.","Al activar cada botón, aparecerán anuncios en la parte inferior de la pantalla, lo cual ayuda enormemente al desarrollo de la aplicación.
Agradecemos de corazón su apoyo.","En activant chaque bouton, des bannières publicitaires apparaîtront en bas de l'écran, contribuant ainsi grandement au développement de l'application.
Nous vous remercions sincèrement pour votre soutien.","各ボタンをオンにすると、画面の下部にバナー広告が表示され、アプリの開発に大きな助けとなります。
ご協力に心より感謝申し上げます。","각 버튼을 켜주시면 화면 하단에 배너 광고가 표시되며, 이는 앱 개발에 큰 힘이 됩니다.
소중한 지원에 감사드립니다.","Ao ativar cada botão, banners de anúncios aparecerão na parte inferior da tela, ajudando muito no desenvolvimento do aplicativo.
Agradecemos imensamente seu apoio.","عند تفعيل كل زر، ستظهر إعلانات بانر في الجزء السفلي من الشاشة، مما يسهم بشكل كبير في تطوير التطبيق.
نشكر لكم دعمكم الكريم من أعماق قلوبنا."
@descriptionAllosAd,"{""description"": ""광고 허용에 대한 설명""}","{""description"": ""광고 허용에 대한 설명""}","{""description"": ""광고 허용에 대한 설명""}","{""description"": ""광고 허용에 대한 설명""}","{""description"": ""광고 허용에 대한 설명""}","{""description"": ""광고 허용에 대한 설명""}","{""description"": ""광고 허용에 대한 설명""}"
